switch,port,name,status,vlan,neighbor,neighbor_port,capability,role,speed,duplex,type
SWKSOPHZAUD01,Gi1/0/15,OVPREM01:REMOTE-CA,notconnect,1102,,,,other,auto,auto,10/100/1000BaseTX
SWKSOPHZAUD01,Gi1/0/23,OVP-CCLQ01-CART1 1,notconnect,1102,,,,other,auto,auto,10/100/1000BaseTX
SWKSOPHZAUD01,Gi1/0/28,PKSOVPZTEXTZZA-10.,notconnect,1101,,,,other,auto,auto,10/100/1000BaseTX
SWKSOPHZAUD01,Gi1/0/40,ANTENNA_TRANCEIVER,connected,1102,,,,connected-no-lldp,a-1000,a-full,10/100/1000BaseTX
SWKSOPHZAUD01,Gi1/0/41,TEMP-ANTENNA_TRANC,notconnect,1102,,,,other,auto,auto,10/100/1000BaseTX
SWKSOPHZAUD01,Gi1/0/42,MIXING CONSOLE CAR,notconnect,1101,,,,other,auto,auto,10/100/1000BaseTX
SWKSOPHZAUD01,Gi1/0/43,WIRELESS RX-01 CAR,connected,1101,,,,connected-no-lldp,a-1000,a-full,10/100/1000BaseTX
SWKSOPHZAUD01,Gi1/0/44,WIRELESS RX-02 CAR,connected,1101,,,,connected-no-lldp,a-1000,a-full,10/100/1000BaseTX
SWKSOPHZAUD01,Gi1/0/45,WCKSAUDIOCART1-10.,notconnect,1101,,,,other,auto,auto,10/100/1000BaseTX
SWKSOPHZAUD01,Po37,OVP-UPLINK L2 NXKS,connected,trunk,,,,port-channel,a-10G,a-full,N/A
SWKSOPHZAUD01,Te1/1/1,NXKSOPEP01-E1/23,connected,trunk,NXKSOPHEP01,Ethernet1/23,"B,R",uplink,10G,full,SFP-10GBase-LR
SWKSOPHZAUD01,Te1/1/8,NXKSOPEP02-E1/23,connected,trunk,NXKSOPHEP02,Ethernet1/23,"B,R",uplink,10G,full,SFP-10GBase-LR
