switch,port,name,status,vlan,neighbor,neighbor_port,capability,role,speed,duplex,type
SWWABELB1X01,Gi1/0/1,GS OPENGEAR FRAME:,connected,2200,,,,connected-no-lldp,a-1000,a-full,10/100/1000BaseTX
SWWABELB1X01,Gi1/0/2,Extender PWABELBTE,connected,2200,,,,connected-no-lldp,a-100,a-full,10/100/1000BaseTX
SWWABELB1X01,Gi1/0/5,MEYER PRO FOCUSRIT,notconnect,203,,,,other,auto,auto,10/100/1000BaseTX
SWWABELB1X01,Gi1/0/9,PWABEL_TEMPLQ,notconnect,207,,,,other,auto,auto,10/100/1000BaseTX
SWWABELB1X01,Gi1/0/13,STUDIO TECHNOLOGIE,notconnect,203,,,,other,auto,auto,10/100/1000BaseTX
SWWABELB1X01,Gi1/0/15,YAMAHA QL5 MIXING,notconnect,203,,,,other,auto,auto,10/100/1000BaseTX
SWWABELB1X01,Gi1/0/18,Lounge Transceiver,notconnect,202,,,,other,auto,auto,10/100/1000BaseTX
SWWABELB1X01,Gi1/0/19,GS ICOM TRANCIEVER,connected,202,,,,connected-no-lldp,a-1000,a-full,10/100/1000BaseTX
SWWABELB1X01,Gi1/0/22,DDR1-10.79.120.69,notconnect,2200,,,,other,auto,auto,10/100/1000BaseTX
SWWABELB1X01,Gi1/0/23,DDR2-AEM/10.79.120,notconnect,2200,,,,other,auto,auto,10/100/1000BaseTX
SWWABELB1X01,Gi1/0/25,GS FOCUSRITE 73A P,connected,203,,,,connected-no-lldp,a-1000,a-full,10/100/1000BaseTX
SWWABELB1X01,Gi1/0/30,RESERVED-DANTE-BRI,notconnect,203,,,,other,auto,auto,10/100/1000BaseTX
SWWABELB1X01,Gi1/0/32,DDR3/OVP-AEM/10.79,notconnect,2200,,,,other,auto,auto,10/100/1000BaseTX
SWWABELB1X01,Gi1/0/33,DDR4/OVP-AEM/10.79,notconnect,2200,,,,other,auto,auto,10/100/1000BaseTX
SWWABELB1X01,Gi1/0/35,USB EXTENDER,notconnect,2200,,,,other,auto,auto,10/100/1000BaseTX
SWWABELB1X01,Gi1/0/37,GS FOCUSRITE 73A S,connected,2204,,,,connected-no-lldp,a-1000,a-full,10/100/1000BaseTX
SWWABELB1X01,Gi1/0/40,KVM RX#1,notconnect,201,,,,other,auto,auto,10/100/1000BaseTX
SWWABELB1X01,Gi1/0/41,KVM RX#2,notconnect,201,,,,other,auto,auto,10/100/1000BaseTX
SWWABELB1X01,Gi1/0/44,INTERCOM-PANEL : 1,notconnect,207,,,,other,auto,auto,10/100/1000BaseTX
SWWABELB1X01,Gi1/0/46,PWABELBTTMP73A-Roo,connected,2200,,,,connected-no-lldp,a-100,a-full,10/100/1000BaseTX
SWWABELB1X01,Po44,VPC-NXWASEADX01-X0,connected,trunk,,,,port-channel,a-10G,a-full,N/A
SWWABELB1X01,Te1/1/1,NXWASEADX01-eth1/2,connected,trunk,NXWASEADX01,Ethernet1/29,"B,R",uplink,10G,full,SFP-10GBase-LR
SWWABELB1X01,Te1/1/8,NXWASEADX02-eth1/2,connected,trunk,NXWASEADX02,Ethernet1/29,"B,R",uplink,10G,full,SFP-10GBase-LR
